"detection_history.o1","detection_history.o2","detection_history.o3","detection_history.o4","detection_history.o5","detection_history.o6","detection_history.o7","detection_history.o8","detection_history.o9","detection_history.o10","detection_history.o11"
1,0,0,0,NA,NA,NA,NA,NA,NA,NA
0,0,0,0,NA,NA,NA,NA,NA,NA,NA
0,0,0,0,NA,NA,NA,NA,NA,NA,NA
0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,0,0,0,NA,NA,NA,NA,NA,NA,NA
0,0,0,0,NA,NA,NA,NA,NA,NA,NA
0,0,0,0,NA,NA,NA,NA,NA,NA,NA
0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,0,0,0,NA,NA,NA,NA,NA,NA,NA
0,0,0,0,NA,NA,NA,NA,NA,NA,NA
0,0,0,0,0,NA,NA,NA,NA,NA,NA
0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,1,0,NA,NA,NA,NA,NA,NA,NA,NA
1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,0,0,0,0,0,0,0,0,0,NA
0,0,0,0,0,0,0,0,0,0,NA
0,0,0,0,0,0,0,0,0,0,NA
0,0,0,0,1,1,0,0,0,0,NA
0,0,0,0,0,0,0,1,1,0,NA
0,0,0,1,0,0,0,0,0,0,NA
0,0,0,0,0,0,0,0,0,0,NA
0,0,0,0,0,0,0,0,0,0,NA
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,NA
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,NA
0,0,0,0,0,0,0,0,0,0,NA
0,0,0,0,0,0,0,0,0,0,NA
0,0,0,0,0,0,0,0,0,0,NA
0,0,0,0,0,0,0,0,0,0,NA
0,0,0,0,0,0,0,0,0,0,NA
0,0,0,0,0,0,0,0,0,0,NA
0,0,0,0,0,0,0,0,NA,NA,NA
0,0,0,0,NA,NA,NA,NA,NA,NA,NA
0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,0,0,0,0,0,0,NA,NA,NA,NA
0,0,0,0,0,0,0,0,NA,NA,NA
0,0,0,0,0,0,0,0,0,NA,NA
0,0,0,0,NA,NA,NA,NA,NA,NA,NA
0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
0,0,0,0,0,0,0,NA,NA,NA,NA
0,0,0,0,0,0,0,0,NA,NA,NA
0,0,0,0,0,0,NA,NA,NA,NA,NA
0,0,0,0,0,0,0,NA,NA,NA,NA
0,0,0,0,0,0,0,NA,NA,NA,NA
1,1,1,0,0,0,0,NA,NA,NA,NA
0,0,0,0,0,0,0,NA,NA,NA,NA
1,0,0,0,0,NA,NA,NA,NA,NA,NA
0,0,1,0,0,0,0,NA,NA,NA,NA
1,1,0,1,1,NA,NA,NA,NA,NA,NA
0,0,0,1,1,0,0,0,NA,NA,NA
0,0,0,0,0,0,0,0,NA,NA,NA
0,0,1,1,0,0,0,NA,NA,NA,NA
0,0,0,0,NA,NA,NA,NA,NA,NA,NA
1,0,0,0,1,NA,NA,NA,NA,NA,NA
0,0,0,0,0,0,0,NA,NA,NA,NA
0,0,0,0,0,0,0,NA,NA,NA,NA
0,0,0,0,0,0,0,0,NA,NA,NA
0,0,0,0,0,0,0,NA,NA,NA,NA
1,0,1,0,0,0,NA,NA,NA,NA,NA
0,0,1,0,0,0,0,NA,NA,NA,NA
0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,0,0,0,0,0,0,0,NA,NA,NA
1,0,0,0,0,0,0,1,0,NA,NA
0,0,0,0,NA,NA,NA,NA,NA,NA,NA
0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
1,0,0,0,0,NA,NA,NA,NA,NA,NA
1,1,1,0,0,NA,NA,NA,NA,NA,NA
0,0,0,0,0,NA,NA,NA,NA,NA,NA
1,0,0,0,0,NA,NA,NA,NA,NA,NA
0,1,0,0,0,0,NA,NA,NA,NA,NA
0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
1,0,0,1,0,1,NA,NA,NA,NA,NA
1,1,1,0,0,NA,NA,NA,NA,NA,NA
1,0,1,0,0,NA,NA,NA,NA,NA,NA
1,1,0,0,0,NA,NA,NA,NA,NA,NA
0,0,0,0,0,NA,NA,NA,NA,NA,NA
0,0,0,0,0,NA,NA,NA,NA,NA,NA
1,0,0,0,NA,NA,NA,NA,NA,NA,NA
0,1,1,1,1,0,NA,NA,NA,NA,NA
1,0,0,NA,NA,NA,NA,NA,NA,NA,NA
0,0,0,0,0,NA,NA,NA,NA,NA,NA
0,0,0,0,0,0,0,0,0,NA,NA
0,0,0,0,0,0,0,0,0,NA,NA
0,0,0,0,1,0,0,0,0,NA,NA
