"","Code.Loc","psi_mean","psi_sd","psi_se","min","max"
"1","APN",0.443692605125569,0.00910449370505756,0.00227612342626439,0.434588111420512,0.452797098830627
"2","AUG",0.45742237689885,0.00637596528032622,0.00164626715644668,0.451046411618524,0.463798342179177
"3","BLO",0.189055009942422,0.0653532216235664,0.0154039020608037,0.123701788318855,0.254408231565988
"4","CDB",0.559409514855561,0.169314203306477,0.0388433422062649,0.390095311549085,0.728723718162038
"5","DHP",0.0372609832238835,0.054095351240962,0.0156159828004384,-0.0168343680170785,0.0913563344648455
"6","GOE",0.461960042954341,0.0195305564419535,0.00448061693903119,0.442429486512388,0.481490599396295
"7","KAR",0.599711805471217,0.0023183070647483,0.00053185611659654,0.597393498406469,0.602030112535965
"8","KGA",0.546743379635792,0.012605830018569,0.00289197574475756,0.534137549617223,0.559349209654361
"9","KHA",0.564935672268098,0.0234983513023331,0.00587458782558328,0.541437320965765,0.588434023570431
"10","KRU",0.224800940996568,0.123526108914797,0.0242254630690284,0.101274832081771,0.348327049911365
"11","MAD",0.272263627085256,0.028403509515837,0.00460765767876021,0.243860117569419,0.300667136601093
"12","MTZ",0.553609773377692,0.0598435219584691,0.0180435007699669,0.493766251419223,0.613453295336161
"13","PLN",0.514269459612104,0.136469407244923,0.0313082292139746,0.377800052367181,0.650738866857027
"14","TSK",0.42714734527897,0.0260547192275203,0.00631919761299281,0.40109262605145,0.45320206450649
"15","TSL",0.312273581906977,0.0401742036746054,0.0142037259235415,0.272099378232372,0.352447785581583
"16","VEN",0.388398941337097,0.0841302500121041,0.0193008030472407,0.304268691324993,0.472529191349201
