"X","tot_occ"
"AUG_C02",1
"AUG_C03",0
"AUG_C13",0
"AUG_C14",0
"AUG_D01",0
"AUG_D02",0
"AUG_D03",0
"AUG_D05",0
"AUG_D06",0
"AUG_D10",0
"AUG_D11",0
"AUG_D13",0
"AUG_E05",0
"AUG_E08",0
"AUG_E09",0
"AUG_E11",0
"AUG_E12",1
"AUG_E13",2
"AUG_E14",0
"BLO_A04",0
"BLO_B02",0
"BLO_B03",0
"BLO_B04",2
"BLO_B05",2
"BLO_B06",1
"BLO_C02",0
"BLO_C03",0
"BLO_C04",0
"BLO_C05",0
"BLO_C06",0
"BLO_C07",0
"BLO_D02",0
"BLO_D03",0
"BLO_D04",0
"BLO_D05",0
"BLO_D06",0
"BLO_E04",0
"DHP_DA06",0
"DHP_DB06",0
"DHP_DB08",0
"DHP_DC07",0
"DHP_DD01",0
"DHP_DD02",0
"DHP_DD03",0
"DHP_DD05",0
"DHP_DE02",0
"DHP_DE03",0
"DHP_DE04",0
"DHP_DE05",0
"DHP_DF02",0
"KAR_A01",0
"KAR_A02",3
"KAR_A03",0
"KAR_B01",1
"KAR_B02",1
"KAR_B03",4
"KAR_C01",2
"KAR_C02",0
"KAR_C03",2
"KAR_C04",0
"KAR_D01",2
"KAR_D02",0
"KAR_D03",0
"KAR_D04",0
"KAR_E01",0
"KAR_E02",2
"KAR_E03",1
"KAR_F01",0
"KAR_F02",0
"KAR_F03",0
"KGA_A01",2
"KGA_A02",0
"KGA_A03",0
"KGA_A04",1
"KGA_A05",3
"KGA_A06",0
"KGA_A07",1
"KGA_A08",1
"KGA_A09",0
"KGA_A10",3
"KGA_A11",3
"KGA_B01",3
"KGA_B02",2
"KGA_B03",2
"KGA_B04",0
"KGA_B05",0
"KGA_B06",1
"KGA_B07",4
"KGA_B08",1
"KGA_B09",0
"MAD_A03",0
"MAD_A04",0
"MAD_A05",1
"MAD_A06",0
"MAD_B03",0
"MAD_B04",2
"MAD_B05",0
"MAD_B06",0
"MAD_C04",1
"MAD_C05",0
"MAD_C06",1
"MAD_C07",1
"MAD_D03",0
"MAD_D04",0
"MAD_D05",0
"MAD_D06",0
"MAD_D07",0
"MAD_E04",1
"MAD_E06",0
"MAD_F03",0
"MAD_F04",0
"MAD_F05",0
"MAD_G04",0
"MAD_G05",0
"MAD_G06",0
"MAD_G07",0
"MAD_G08",0
"MAD_H04",0
"MAD_H05",0
"MAD_H06",0
"MAD_H07",0
"MAD_H08",2
"MAD_H09",0
"MAD_I04",0
"MAD_I05",1
"MAD_I06",0
"MAD_I07",0
"MAD_I08",0
"MAD_I09",0
"MTZ_B04",2
"MTZ_B05",1
"MTZ_B08",0
"MTZ_C04",1
"MTZ_C06",0
"MTZ_C07",0
"MTZ_C08",8
"MTZ_D03",0
"MTZ_D04",7
"MTZ_D07",0
"MTZ_E03",1
"MTZ_E04",0
"MTZ_E06",0
"MTZ_F04",2
"MTZ_G04",0
"TSW_KA02",0
"TSW_KA03",0
"TSW_KA05",0
"TSW_KA06",1
"TSW_KA07",0
"TSW_KB02",2
"TSW_KB03",4
"TSW_KB04",0
"TSW_KB05",5
"TSW_KB06",0
"TSW_KB07",0
"TSW_KC02",0
"TSW_KC03",1
"TSW_KC04",0
"TSW_KC06",0
"TSW_KC07",2
"TSW_KD02",3
"TSW_KD03",0
"TSW_LB02",0
"TSW_LB03",0
"TSW_LC01",0
"TSW_LC03",2
"TSW_LD02",0
"TSW_LD03",5
"TSW_LE01",0
"TSW_LE02",0
"TSW_LE03",0
"PLN_A01",0
"PLN_A02",1
"PLN_B01",0
"PLN_B02",0
"PLN_B03",0
"PLN_B04",1
"PLN_B05",0
"PLN_C02",1
"PLN_C03",2
"PLN_C04",0
"PLN_C05",0
"PLN_C06",0
"PLN_D01",0
"PLN_D02",0
"PLN_D03",0
"PLN_D04",0
"PLN_D05",0
"PLN_E02",0
"PLN_E03",0
"PLN_E04",0
"KRU_1",3
"KRU_2",0
